x,y005,y001,y0001
531,0.0766,0.0217,0.00229
532,0.0793,0.0227,0.00169
533,0.0822,0.0179,0.0018
534,0.0851,0.0188,0.00275
535,0.0881,0.0197,0.00204
536,0.0731,0.0206,0.00217
537,0.0758,0.0216,0.00231
538,0.0785,0.017,0.00245
539,0.0813,0.0178,0.0026
540,0.0842,0.0187,0.00276
541,0.0871,0.0196,0.00142
542,0.0724,0.0154,0.00152
543,0.075,0.0215,0.00232
544,0.0777,0.0169,0.00172
545,0.0805,0.0177,0.00183
546,0.0833,0.0186,0.00277
547,0.0862,0.0146,0.00143
548,0.0892,0.0204,0.00312
549,0.0743,0.0161,0.00163
550,0.0769,0.0223,0.0035
551,0.0796,0.0233,0.00263
552,0.0824,0.0185,0.00279
553,0.0853,0.0194,0.00208
554,0.071,0.0203,0.00313
555,0.0735,0.016,0.00234
556,0.0761,0.0168,0.00249
557,0.0788,0.0232,0.00264
558,0.0816,0.0184,0.00197
559,0.0844,0.0193,0.00578
560,0.0702,0.0152,0.00155
561,0.0728,0.0159,0.00165
562,0.0754,0.0167,0.00121
563,0.078,0.0175,0.00186
564,0.0807,0.0183,0.00198
565,0.0835,0.0192,0.0021
566,0.0695,0.0151,0.00223
567,0.0893,0.021,0.00333
568,0.0746,0.0166,0.00176
569,0.0772,0.0229,0.00266
570,0.0799,0.0182,0.00282
571,0.0826,0.019,0.00211
572,0.0854,0.0199,0.00157
573,0.0713,0.0158,0.00167
574,0.0738,0.0165,0.00252
575,0.0764,0.0173,0.00188
576,0.079,0.0181,0.00282
577,0.0818,0.0189,0.00212
578,0.0845,0.0198,0.00158
579,0.0874,0.0157,0.00238
580,0.0731,0.0216,0.00252
581,0.0756,0.0172,0.00189
582,0.0782,0.018,0.002
583,0.0809,0.0188,0.00149
584,0.0836,0.0197,0.00317
585,0.0864,0.0206,0.00168
586,0.0893,0.0215,0.00179
587,0.0748,0.0171,0.00268
588,0.0953,0.0179,0.00284
589,0.08,0.0187,0.00213
590,0.0827,0.0196,0.00159
591,0.0855,0.0204,0.00169
592,0.0716,0.0214,0.0018
593,0.0913,0.017,0.00191
594,0.0766,0.0178,0.00142
595,0.0792,0.0186,0.00214
596,0.0819,0.0194,0.00227
597,0.0846,0.0154,0.00119
598,0.0874,0.0212,0.00255
599,0.0733,0.0169,0.00191
600,0.0758,0.0177,0.00285
601,0.0784,0.014,0.00152
602,0.081,0.0193,0.00228
603,0.0837,0.0154,0.00171
604,0.0865,0.0211,0.00181
605,0.0725,0.0168,0.00192
606,0.0922,0.023,0.00204
607,0.0775,0.0184,0.00152
608,0.0801,0.0192,0.00228
609,0.0828,0.0201,0.00121
610,0.0855,0.016,0.000892
611,0.0883,0.0219,0.00376
612,0.0742,0.0175,0.00101
613,0.0767,0.0183,0.00153
614,0.0793,0.0145,0.00229
615,0.0819,0.0199,0.00242
616,0.0846,0.0159,0.00256
617,0.0874,0.0217,0.00193
618,0.0734,0.0174,0.00286
619,0.0759,0.0181,0.00418
620,0.0785,0.019,0.000799
621,0.0811,0.0151,0.00243
622,0.0837,0.0207,0.00183
623,0.0864,0.0165,0.00194
624,0.0727,0.0173,0.00146
625,0.0921,0.018,0.00217
626,0.0776,0.0188,0.0032
627,0.0802,0.0197,0.00243
628,0.0828,0.0205,0.00257
629,0.0855,0.0164,0.00138
630,0.0719,0.0172,0.00206
631,0.0743,0.0179,0.00155
632,0.0939,0.0243,0.0032
633,0.0793,0.0195,0.000862
634,0.0819,0.0204,0.00257
635,0.0846,0.0163,0.00272
636,0.0873,0.017,0.00206
637,0.0736,0.0178,0.00303
638,0.076,0.0186,0.0032
639,0.0958,0.0194,0.00244
640,0.0811,0.0155,0.00185
641,0.0837,0.0211,0.00139
642,0.0864,0.0169,0.00287
643,0.0891,0.0177,0.00156
644,0.0919,0.0141,0.00165
645,0.0777,0.0193,0.000872
646,0.0977,0.0201,0.00258
647,0.0828,0.0209,0.00272
648,0.0854,0.0218,0.00287
649,0.0881,0.0228,0.00219
650,0.0909,0.0237,0.00231
651,0.0768,0.0191,0.00244
652,0.0793,0.0153,0.00185
653,0.0819,0.0268,0.00375
654,0.0845,0.0217,0.00395
655,0.0872,0.0174,0.00303
656,0.0899,0.0182,0.00232
657,0.0927,0.019,0.000881
658,0.0785,0.0198,0.00132
659,0.081,0.0159,0.00196
660,0.0836,0.0166,0.00105
661,0.0862,0.0173,0.00157
662,0.0889,0.0181,0.00232
663,0.0917,0.0189,0.00125
664,0.0777,0.0197,0.00258
665,0.0801,0.0158,0.00272
666,0.0827,0.0214,0.00208
667,0.0853,0.0172,0.0022
668,0.088,0.0232,0.00319
669,0.0907,0.0187,0.00337
670,0.0935,0.0195,0.00186
671,0.0793,0.0203,0.00197
672,0.0818,0.0164,0.00287
673,0.0844,0.0221,0.00303
674,0.087,0.0178,0.00319
675,0.0897,0.0186,0.00177
676,0.0924,0.0194,0.00354
677,0.0784,0.0202,0.00197
678,0.0809,0.0163,0.00287
679,0.0835,0.0219,0.00158
680,0.0861,0.0177,0.00232
681,0.0887,0.0185,0.00336
682,0.0752,0.0192,0.00258
